r (Ang), PDF (RMC), PDF (Expt)
   1.0000000000000000       ,  -0.48836693642835000       ,  -0.49379789573026500     
   1.0100000000000000       ,  -0.49324820652887197       ,  -0.50179131598451598     
   1.0200000000000000       ,  -0.49812940502154296       ,  -0.50952328785051704     
   1.0300000000000000       ,  -0.50301053119796590       ,  -0.51676706194485800     
   1.0400000000000000       ,  -0.50789158434976223       ,  -0.52332783165596297     
   1.0500000000000000       ,  -0.51277256376857050       ,  -0.52905848304699399     
   1.0600000000000001       ,  -0.51765346874604723       ,  -0.53387249008885795     
   1.0700000000000001       ,  -0.52253429857386724       ,  -0.53775174039321305     
   1.0800000000000001       ,  -0.52741505254372256       ,  -0.54075002972217301     
   1.0900000000000001       ,  -0.53229572994732488       ,  -0.54299040419219802     
   1.1000000000000001       ,  -0.53717633007640364       ,  -0.54465777750709998     
   1.1100000000000001       ,  -0.54205685222270683       ,  -0.54598603572504301     
   1.1200000000000001       ,  -0.54693729567800220       ,  -0.54724140142359601     
   1.1300000000000001       ,  -0.55181765973407548       ,  -0.54870279553954704     
   1.1400000000000001       ,  -0.55669794368273240       ,  -0.55064091952910299     
   1.1500000000000001       ,  -0.56157814681579732       ,  -0.55329718987275600     
   1.1599999999999999       ,  -0.56645826842511504       ,  -0.55686439522577302     
   1.1699999999999999       ,  -0.57133830780254946       ,  -0.56147099573373505     
   1.1799999999999999       ,  -0.57621826423998435       ,  -0.56716940904225399     
   1.1899999999999999       ,  -0.58109813702932411       ,  -0.57392990720959403     
   1.2000000000000000       ,  -0.58597792546249272       ,  -0.58164086279890403     
   1.2100000000000000       ,  -0.59085762883143522       ,  -0.59011504883938004     
   1.2200000000000000       ,  -0.59573724642811632       ,  -0.59910154969034202     
   1.2300000000000000       ,  -0.60061677754452247       ,  -0.60830318437132003     
   1.2400000000000000       ,  -0.60549622147266058       ,  -0.61739786736787206     
   1.2500000000000000       ,  -0.61037557750455851       ,  -0.62606213504905295     
   1.2600000000000000       ,  -0.61525484493226557       ,  -0.63399560723536497     
   1.2700000000000000       ,  -0.62013402304785270       ,  -0.64094436596088600     
   1.2800000000000000       ,  -0.62501311114341240       ,  -0.64672157800238494     
   1.2900000000000000       ,  -0.62989210851105804       ,  -0.65122339243757199     
   1.3000000000000000       ,  -0.63477101444292650       ,  -0.65443942417421697     
   1.3100000000000001       ,  -0.63964982823117544       ,  -0.65645639611519901     
   1.3200000000000001       ,  -0.64452854916798530       ,  -0.65745469386724797     
   1.3300000000000001       ,  -0.64940717654555957       ,  -0.65769802986715598     
   1.3400000000000001       ,  -0.65428570965612365       ,  -0.65751621692547702     
   1.3500000000000001       ,  -0.65916414779192567       ,  -0.65728316758090499     
   1.3600000000000001       ,  -0.66404249024523720       ,  -0.65739066066824303     
   1.3700000000000001       ,  -0.66892073630835280       ,  -0.65821964696404600     
   1.3800000000000001       ,  -0.67379888527359011       ,  -0.66011224389051204     
   1.3900000000000001       ,  -0.67867693643329063       ,  -0.66334496068054905     
   1.4000000000000001       ,  -0.68355488907981921       ,  -0.66810645163990900     
   1.4099999999999999       ,  -0.68843274250556441       ,  -0.67448009281710397     
   1.4199999999999999       ,  -0.69331049600294004       ,  -0.68243448284321495     
   1.4299999999999999       ,  -0.69818814886438230       ,  -0.69182093279111201     
   1.4399999999999999       ,  -0.70306570038235272       ,  -0.70237976613662401     
   1.4500000000000000       ,  -0.70794314984933682       ,  -0.71375464132648603     
   1.4600000000000000       ,  -0.71282049655784563       ,  -0.72551342039969802     
   1.4700000000000000       ,  -0.71769773980041451       ,  -0.73717592819139299     
   1.4800000000000000       ,  -0.72257487886960370       ,  -0.74824525526486596     
   1.4900000000000000       ,  -0.72745191305799906       ,  -0.75824102958146500     
   1.5000000000000000       ,  -0.73232884165821155       ,  -0.76673347566562400     
   1.5100000000000000       ,  -0.73720566396287757       ,  -0.77337407769708699     
   1.5200000000000000       ,  -0.74208237926465948       ,  -0.77792230512740101     
   1.5300000000000000       ,  -0.74695898685624551       ,  -0.78026569380612498     
   1.5400000000000000       ,  -0.75183548603034978       ,  -0.78043200293713000     
   1.5500000000000000       ,  -0.75671187607971258       ,  -0.77859270958831195     
   1.5600000000000001       ,  -0.76158815629710119       ,  -0.77505715169644895     
   1.5700000000000001       ,  -0.76646432597530878       ,  -0.77025741800409397     
   1.5800000000000001       ,  -0.77134038440715536       ,  -0.76472551070036598     
   1.5900000000000001       ,  -0.77621633088548814       ,  -0.75906287920251203     
   1.6000000000000001       ,  -0.75918586663987142       ,  -0.75390542584039000     
   1.6100000000000001       ,  -0.74605609773782788       ,  -0.74988482015744795     
   1.6200000000000001       ,  -0.74712172268423060       ,  -0.74759010852239605     
   1.6300000000000001       ,  -0.73972259515712646       ,  -0.74752912686707995     
   1.6400000000000001       ,  -0.73870654602020724       ,  -0.75009508136125203     
   1.6500000000000001       ,  -0.74439990519059440       ,  -0.75553829702423703     
   1.6600000000000001       ,  -0.74084612637255731       ,  -0.76394470926376901     
   1.6699999999999999       ,  -0.75094736637847959       ,  -0.77522321473522104     
   1.6799999999999999       ,  -0.74490520920328962       ,  -0.78910104480762899     
   1.6899999999999999       ,  -0.74115254493542326       ,  -0.80512844131611605     
   1.7000000000000000       ,  -0.74050791918649106       ,  -0.82269115804732196     
   1.7100000000000000       ,  -0.75359137734939718       ,  -0.84103000046269905     
   1.7200000000000000       ,  -0.76403214039485645       ,  -0.85926656694607695     
   1.7300000000000000       ,  -0.75752664454934537       ,  -0.87643263221626699     
   1.7400000000000000       ,  -0.75744623279534484       ,  -0.89150159791443795     
   1.7500000000000000       ,  -0.75950847871107052       ,  -0.90342176427399601     
   1.7600000000000000       ,  -0.76409164330959423       ,  -0.91114694399436802     
   1.7700000000000000       ,  -0.75547827413654678       ,  -0.91366569799826802     
   1.7800000000000000       ,  -0.74947758527037966       ,  -0.91002668293168598     
   1.7900000000000000       ,  -0.72451569900627555       ,  -0.89936006118815703     
   1.8000000000000000       ,  -0.71588396172206947       ,  -0.88089448127282799     
   1.8100000000000001       ,  -0.71067458618460744       ,  -0.85397007147235604     
   1.8200000000000001       ,  -0.67531282767119183       ,  -0.81804808667044104     
   1.8300000000000001       ,  -0.64952154269830054       ,  -0.77271760205655904     
   1.8400000000000001       ,  -0.62379470575280216       ,  -0.71770048418906796     
   1.8500000000000001       ,  -0.57577009136525059       ,  -0.65285626362141902     
   1.8600000000000001       ,  -0.51863153556777619       ,  -0.57818548175652396     
   1.8700000000000001       ,  -0.45652441655034171       ,  -0.49383982984675401     
   1.8800000000000001       ,  -0.37690474251421807       ,  -0.40012367968762402     
   1.8900000000000001       ,  -0.26968289671837264       ,  -0.29750678689885901     
   1.9000000000000001       ,  -0.18388339037855506       ,  -0.18663362274186401     
   1.9100000000000001       ,  -9.04869679702530738E-002  ,  -6.83339413202094931E-002
   1.9199999999999999       ,   2.05200532006805346E-002  ,   5.63673816529016020E-002
   1.9299999999999999       ,   0.13339603546435277       ,   0.18624284304152700     
   1.9399999999999999       ,   0.26911438236801816       ,   0.31985878824621000     
   1.9500000000000000       ,   0.37666161191157321       ,   0.45557769986174601     
   1.9600000000000000       ,   0.50789884181694711       ,   0.59156797738251898     
